10,71,88,140,
67,134,190,309,
72,162,197,317,
75,3,6,323,
77,22,24,329,
80,30,43,333,
83,4,48,336,
85,12,60,5,
87,4,65,14,
89,13,71,45,
3,6,75,3,
5,12,77,1,
3,19,98,9,
14,23,8,13,
3,27,16,1,
4,30,21,4,
12,34,23,7,
2,6,25,14,
6,12,28,21,
9,30,33,25,
43,43,35,10,
2,53,37,15,
5,17,39,30,
6,28,6,34,
14,40,8,7,
2,44,21,22,
3,56,29,36,
28,63,36,39,
1,66,51,9,
4,71,55,8,
7,77,58,16,
12,82,6,22,
16,5,9,25,
44,1,13,27,
47,4,31,29,
56,5,36,31,
4,4,40,33,
18,19,2,35,
2,28,6,37,
78,35,7,8,
90,37,11,3,
96,40,26,13,
101,42,30,76,
106,48,38,89,
1,51,41,95,
15,54,53,97,
23,59,12,99,
1,3,5,101,
4,3,13,103,
10,12,23,106,
2,19,1,12,
14,24,16,26,
20,29,2,6,
24,4,15,12,
30,13,23,16,
35,18,5,19,
1,21,4,21,
13,2,12,24,
19,15,19,29,
2,21,26,31,
6,3,33,35,
19,9,38,306,
30,16,1,13,
36,33,2,31,
41,2,7,129,
44,7,11,138,
54,10,15,143,
0,7,3,145,
7,22,11,147,
20,28,7,149,
24,33,11,151,
2,38,24,153,
2,2,3,5,
1,9,5,6,
6,26,8,26,
11,4,22,30,
4,9,25,34,
20,7,9,38,
2,20,16,40,
16,24,19,44,
23,30,2,47,
4,42,2,51,
14,46,22,55,
19,6,30,9,
24,4,13,16,
29,7,2,22,
34,20,4,39,
1,24,4,46,
5,26,12,51,
0,28,17,55,
2,1,6,58,
20,4,13,61,
6,10,21,64,
18,22,25,6,
25,27,29,6,
30,40,19,5,
35,45,26,15,
1,49,35,24,
12,62,49,32,
4,73,52,36,
16,5,64,52,
4,2,70,57,
17,6,82,62,
10,13,88,74,
18,23,2,79,
4,28,6,2,
14,3,12,5,
4,22,13,2,
8,4,21,4,
11,20,30,3,
18,23,34,1,
23,33,47,5,
14,38,50,15,
24,41,5,27,
27,69,12,32,
2,73,20,2,
5,1,24,7,
8,5,29,2,
29,7,13,19,
5,3,9,26,
20,6,8,30,
6,15,9,5,
14,10,1,2,
27,14,5,6,
34,8,21,1,
40,20,25,5,
3,27,41,2,
6,4,10,6,
15,17,17,1,
21,20,11,4,
26,26,9,6,
1,38,6,15,
4,45,26,11,
8,50,35,4,
14,2,40,1,
19,6,46,3,
24,13,51,6,
4,1,57,17,
20,11,8,22,
4,5,13,13,
16,15,11,20,
29,2,23,5,
6,20,34,12,
4,8,51,17,
12,13,64,25,
20,16,1,29,
24,25,2,32,
29,1,3,36,
34,15,10,46,
2,20,16,51,
5,28,23,56,
5,1,26,2,
18,5,37,7,
4,9,41,23,
16,8,1,28,
22,4,5,7,
26,4,9,16,
42,15,2,22,
47,2,6,28,
52,17,2,1,
2,26,1,6,
5,42,3,1,
1,50,9,5,
5,1,13,10,
8,3,16,14,
2,3,20,2,
14,11,27,6,
4,1,1,9,
2,5,5,8,
21,1,1,13,
28,6,16,17,
32,2,19,28,
37,12,32,42,
2,19,5,46,
6,3,13,50,
2,4,18,54,
26,19,22,56,
35,4,1,58,
2,8,6,2,
5,23,0,4,
7,30,6,12,
19,2,9,1,
9,0,24,2,
22,17,31,7,
36,22,36,2,
40,27,40,7,
43,31,44,2,
46,35,5,7,
48,39,4,10,
51,1,8,16,
54,9,18,21,
56,2,39,2,
6,6,45,2,
13,2,50,4,
18,6,54,12,
21,2,2,1,
24,4,6,2,
39,4,4,2,
43,0,6,1,
45,2,14,6,
48,29,18,1,
50,2,27,6,
16,1,30,18,
28,6,8,23,
32,9,14,35,
35,6,25,38,
38,11,34,51,
40,18,39,56,
43,21,43,61,
46,23,45,65,
48,39,50,68,
51,43,7,73,
5,46,13,3,
5,50,18,3,
13,55,2,3,
17,1,7,4,
19,0,12,1,
22,18,15,1,
24,14,27,2,
27,25,31,7,
29,30,37,12,
32,1,5,22,
36,15,4,32,
10,25,2,39,
3,33,10,41,
2,40,17,12,
24,46,3,55,
5,49,7,8,
2,55,11,14,
5,70,14,21,
8,2,36,29,
3,2,42,33,
1,3,47,49,
2,4,52,65,
13,2,2,70,
4,7,9,83,
3,2,2,12,
3,16,33,22,
15,21,12,6,
1,8,5,21,
16,17,16,27,
25,9,4,34,
30,16,20,41,
35,6,25,54,
3,15,9,64,
18,3,1,70,
8,3,7,2,
22,13,6,3,
30,21,17,16,
36,2,7,25,
41,5,10,33,
43,22,2,8,
46,30,9,16,
51,36,11,24,
54,40,13,32,
56,44,15,2,
7,4,17,10,
59,12,19,8,
7,26,21,2,
10,10,23,8,
20,13,25,14,
38,20,5,30,
43,3,2,36,
55,3,5,44,
2,11,3,49,
14,14,3,53,
23,21,5,2,
27,4,4,7,
2,22,12,1,
